iter: 3820  loss: 3.280958 
iter: 3840  loss: 3.266353 
iter: 3860  loss: 3.251882 
iter: 3880  loss: 3.237544 
iter: 3900  loss: 3.223336 
iter: 3920  loss: 3.209256 
iter: 3940  loss: 3.195303 
iter: 3960  loss: 3.181475 
iter: 3980  loss: 3.167770 
iter: 4000  loss: 3.154187 
iter: 4020  loss: 3.140723 
iter: 4040  loss: 3.127377 
iter: 4060  loss: 3.114148 
iter: 4080  loss: 3.101034 
iter: 4100  loss: 3.088033 
iter: 4120  loss: 3.075144 
iter: 4140  loss: 3.062365 
iter: 4160  loss: 3.049695 
iter: 4180  loss: 3.037132 
iter: 4200  loss: 3.024675 
iter: 4220  loss: 3.012322 
iter: 4240  loss: 3.000072 
iter: 4260  loss: 2.987924 
iter: 4280  loss: 2.975877 
iter: 4300  loss: 2.963928 
iter: 4320  loss: 2.952077 
iter: 4340  loss: 2.940323 
iter: 4360  loss: 2.928663 
iter: 4380  loss: 2.917098 
iter: 4400  loss: 2.905625 
iter: 4420  loss: 2.894243 
iter: 4440  loss: 2.882952 
iter: 4460  loss: 2.871750 
iter: 4480  loss: 2.860636 
iter: 4500  loss: 2.849609 
iter: 4520  loss: 2.838667 
iter: 4540  loss: 2.827810 
iter: 4560  loss: 2.817037 
iter: 4580  loss: 2.806346 
iter: 4600  loss: 2.795737 
iter: 4620  loss: 2.785208 
iter: 4640  loss: 2.774759 
iter: 4660  loss: 2.764388 
iter: 4680  loss: 2.754094 
iter: 4700  loss: 2.743877 
iter: 4720  loss: 2.733736 
iter: 4740  loss: 2.723669 
iter: 4760  loss: 2.713675 
iter: 4780  loss: 2.703755 
iter: 4800  loss: 2.693906 
iter: 4820  loss: 2.684129 
iter: 4840  loss: 2.674421 
iter: 4860  loss: 2.664783 
iter: 4880  loss: 2.655213 
iter: 4900  loss: 2.645711 
iter: 4920  loss: 2.636276 
iter: 4940  loss: 2.626906 
iter: 4960  loss: 2.617602 
iter: 4980  loss: 2.608362 
iter: 5000  loss: 2.599186 
iter: 5020  loss: 2.590072 
iter: 5040  loss: 2.581021 
iter: 5060  loss: 2.572031 
iter: 5080  loss: 2.563102 
iter: 5100  loss: 2.554233 
iter: 5120  loss: 2.545423 
iter: 5140  loss: 2.536672 
iter: 5160  loss: 2.527978 
iter: 5180  loss: 2.519342 
iter: 5200  loss: 2.510762 
iter: 5220  loss: 2.502238 
iter: 5240  loss: 2.493769 
iter: 5260  loss: 2.485355 
iter: 5280  loss: 2.476995 
iter: 5300  loss: 2.468688 
iter: 5320  loss: 2.460434 
iter: 5340  loss: 2.452231 
iter: 5360  loss: 2.444081 
iter: 5380  loss: 2.435981 
iter: 5400  loss: 2.427932 
iter: 5420  loss: 2.419933 
iter: 5440  loss: 2.411982 
iter: 5460  loss: 2.404081 
iter: 5480  loss: 2.396227 
iter: 5500  loss: 2.388422 
iter: 5520  loss: 2.380663 
iter: 5540  loss: 2.372951 
iter: 5560  loss: 2.365285 
iter: 5580  loss: 2.357664 
iter: 5600  loss: 2.350088 
iter: 5620  loss: 2.342557 
iter: 5640  loss: 2.335070 
iter: 5660  loss: 2.327627 
iter: 5680  loss: 2.320227 
iter: 5700  loss: 2.312869 
iter: 5720  loss: 2.305553 
iter: 5740  loss: 2.298279 
iter: 5760  loss: 2.291047 
iter: 5780  loss: 2.283855 
iter: 5800  loss: 2.276703 
iter: 5820  loss: 2.269592 
iter: 5840  loss: 2.262520 
iter: 5860  loss: 2.255487 
iter: 5880  loss: 2.248493 
iter: 5900  loss: 2.241537 
iter: 5920  loss: 2.234619 
iter: 5940  loss: 2.227739 
iter: 5960  loss: 2.220895 
iter: 5980  loss: 2.214089 
iter: 6000  loss: 2.207318 
iter: 6020  loss: 2.200584 
iter: 6040  loss: 2.193885 
iter: 6060  loss: 2.187222 
iter: 6080  loss: 2.180593 
iter: 6100  loss: 2.173999 
iter: 6120  loss: 2.167439 
iter: 6140  loss: 2.160913 
iter: 6160  loss: 2.154420 
iter: 6180  loss: 2.147961 
iter: 6200  loss: 2.141534 
iter: 6220  loss: 2.135140 
iter: 6240  loss: 2.128778 
iter: 6260  loss: 2.122447 
iter: 6280  loss: 2.116149 
iter: 6300  loss: 2.109881 
iter: 6320  loss: 2.103645 
iter: 6340  loss: 2.097439 
iter: 6360  loss: 2.091263 
iter: 6380  loss: 2.085118 
iter: 6400  loss: 2.079002 
iter: 6420  loss: 2.072915 
iter: 6440  loss: 2.066858 
iter: 6460  loss: 2.060830 
iter: 6480  loss: 2.054830 
iter: 6500  loss: 2.048859 
iter: 6520  loss: 2.042915 
iter: 6540  loss: 2.037000 
iter: 6560  loss: 2.031112 
iter: 6580  loss: 2.025251 
iter: 6600  loss: 2.019417 
iter: 6620  loss: 2.013611 
iter: 6640  loss: 2.007830 
iter: 6660  loss: 2.002076 
iter: 6680  loss: 1.996348 
iter: 6700  loss: 1.990646 
iter: 6720  loss: 1.984970 
iter: 6740  loss: 1.979319 
iter: 6760  loss: 1.973693 
iter: 6780  loss: 1.968091 
iter: 6800  loss: 1.962515 
iter: 6820  loss: 1.956963 
iter: 6840  loss: 1.951435 
iter: 6860  loss: 1.945931 
iter: 6880  loss: 1.940452 
iter: 6900  loss: 1.934995 
iter: 6920  loss: 1.929562 
iter: 6940  loss: 1.924153 
iter: 6960  loss: 1.918766 
iter: 6980  loss: 1.913402 
iter: 7000  loss: 1.908061 
iter: 7020  loss: 1.902742 
iter: 7040  loss: 1.897446 
iter: 7060  loss: 1.892171 
iter: 7080  loss: 1.886918 
iter: 7100  loss: 1.881687 
iter: 7120  loss: 1.876478 
iter: 7140  loss: 1.871290 
iter: 7160  loss: 1.866123 
iter: 7180  loss: 1.860976 
iter: 7200  loss: 1.855851 
iter: 7220  loss: 1.850746 
iter: 7240  loss: 1.845662 
iter: 7260  loss: 1.840598 
iter: 7280  loss: 1.835554 
iter: 7300  loss: 1.830531 
iter: 7320  loss: 1.825527 
iter: 7340  loss: 1.820542 
iter: 7360  loss: 1.815577 
iter: 7380  loss: 1.810632 
iter: 7400  loss: 1.805706 
iter: 7420  loss: 1.800798 
iter: 7440  loss: 1.795910 
iter: 7460  loss: 1.791040 
iter: 7480  loss: 1.786189 
iter: 7500  loss: 1.781357 
iter: 7520  loss: 1.776542 
iter: 7540  loss: 1.771746 
iter: 7560  loss: 1.766968 
iter: 7580  loss: 1.762208 
iter: 7600  loss: 1.757466 
iter: 7620  loss: 1.752741 
iter: 7640  loss: 1.748034 
