     64.45 1.699669e+03 6.244146e+02 1.315632e+03 1.672200e-02
     96.68 1.744795e+03 6.901311e+02 1.415276e+03 2.331700e-02
    128.91 1.775726e+03 7.255578e+02 1.476163e+03 2.980700e-02
    161.13 1.767347e+03 7.444908e+02 1.492902e+03 3.684100e-02
    241.70 1.781557e+03 7.768800e+02 1.534170e+03 5.377500e-02
    322.27 1.811233e+03 7.987220e+02 1.579665e+03 6.963500e-02
    644.53 1.824951e+03 8.287064e+02 1.620578e+03 1.357540e-01
   1289.06 1.823952e+03 8.382405e+02 1.633738e+03 2.693210e-01
   2578.12 1.827966e+03 8.453711e+02 1.645660e+03 5.347400e-01
   6445.31 1.754044e+03 7.979477e+02 1.578021e+03 1.394151e+00
  12890.62 1.733888e+03 7.459013e+02 1.545535e+03 2.846910e+00
  25781.25 1.729970e+03 7.180516e+02 1.532351e+03 5.742808e+00
  38671.88 1.707106e+03 6.953922e+02 1.506940e+03 8.759473e+00
  51562.50 1.717943e+03 6.927313e+02 1.513576e+03 1.162809e+01
  96679.69 1.725278e+03 6.833391e+02 1.514911e+03 2.178346e+01
