     78.12 1.673920e+03 5.654509e+02 1.263714e+03 1.740900e-02
    117.19 1.728708e+03 6.454389e+02 1.383590e+03 2.385100e-02
    156.25 1.753540e+03 6.542362e+02 1.427135e+03 3.083100e-02
    195.31 1.761990e+03 6.791633e+02 1.454526e+03 3.781300e-02
    292.97 1.785119e+03 6.357549e+02 1.474294e+03 5.595900e-02
    390.62 1.804142e+03 6.111722e+02 1.487029e+03 7.397300e-02
    781.25 1.796638e+03 6.181425e+02 1.504490e+03 1.462290e-01
   1562.50 1.828847e+03 7.205260e+02 1.590906e+03 2.765720e-01
   3125.00 1.835624e+03 7.433839e+02 1.612153e+03 5.458540e-01
   7812.50 1.731220e+03 5.503986e+02 1.445929e+03 1.521513e+00
  15625.00 1.646356e+03 3.882937e+02 1.270555e+03 3.463053e+00
  31250.00 1.557716e+03 2.711076e+02 1.087656e+03 8.090794e+00
  46875.00 1.558723e+03 2.462384e+02 1.049521e+03 1.257716e+01
  62500.00 1.552351e+03 2.447632e+02 1.044579e+03 1.684889e+01
 117187.50 1.547606e+03 2.443188e+02 1.042021e+03 3.166924e+01
